oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-ARN-19,19.0,1576447.24,5181529.13,2011
CPT-ARN-21,21.0,1576142.24,5182128.74,2011
CPT-ARN-22,22.0,1576516.96,5181721.57,2011
CPT-ARN-23,23.0,1576564.82,5182063.9,2011
CPT-ARN-24,24.0,1576598.12,5181917.48,2011
CPT-ARN-25,25.0,1576610.34,5182256.74,2011
CPT-ARN-26,26.0,1576326.5,5182390.67,2011
CPT-ARN-28,28.0,1576349.9,5182694.74,2011
CPT-ARN-30,30.0,1576730.34,5182526.74,2011
CPT-ARN-31,31.0,1576554.91,5182798.43,2011
CPT-ARN-33,33.0,1576455.01,5182974.97,2011
CPT-AVD-30,61.0,1575655.29,5183463.58,2011
CPT-AVD-32,62.0,1574748.99,5183367.87,2011
CPT-AVD-36,65.0,1575063.14,5183262.1,2011
CPT-AVD-37,66.0,1575280.89,5183250.93,2011
CPT-AVD-38,67.0,1575481.19,5183322.52,2011
CPT-AVD-40,69.0,1574739.53,5183186.78,2011
CPT-AVD-41,70.0,1574895.81,5183087.24,2011
CPT-AVD-42,71.0,1574963.31,5183183.73,2011
CPT-AVD-43,72.0,1574993.09,5183095.71,2011
CPT-AVD-44,73.0,1575042.66,5182992.81,2011
CPT-AVD-47,76.0,1575008.08,5182912.24,2011
CPT-AVD-48,77.0,1575133.48,5182981.62,2011
CPT-AVD-49,78.0,1575208.69,5183108.69,2011
CPT-AVD-50,79.0,1575308.06,5183183.05,2011
CPT-AVD-51,80.0,1575472.69,5183253.79,2011
CPT-AVD-54,83.0,1575735.91,5183249.46,2011
CPT-AVD-56,85.0,1575705.85,5183354.4,2011
CPT-AVD-57,86.0,1575628.16,5183243.49,2011
CPT-AVD-62,89.0,1575919.33,5183451.85,2011
CPT-AVS-35,126.0,1572550.03,5181082.92,2011
CPT-AVS-39,130.0,1573098.46,5181194.42,2011
CPT-AVS-41,131.0,1573234.46,5181060.91,2011
CPT-AVS-42,132.0,1573269.05,5181192.74,2011
CPT-AVS-43,133.0,1573390.54,5180836.74,2011
CPT-AVS-45,134.0,1573367.13,5181100.03,2011
CPT-AVS-49,137.0,1573714.79,5181137.05,2011
CPT-AVS-51,138.0,1573911.08,5181146.5,2011
CPT-AVS-55,140.0,1574281.78,5180862.64,2011
CPT-AVS-57,141.0,1574142.32,5181112.75,2011
CPT-BKM-09,204.0,1570969.0,5176619.99,2011
CPT-BKM-11,206.0,1571360.71,5176820.63,2011
CPT-BKM-14,209.0,1570710.76,5176364.56,2011
CPT-BKM-15,210.0,1570897.06,5176447.72,2011
CPT-BKM-19,214.0,1571063.09,5175775.22,2011
CPT-BKM-20,215.0,1571167.13,5176380.16,2011
CPT-BKM-21,216.0,1571027.34,5176115.45,2011
CPT-BKM-25,220.0,1571438.17,5176374.96,2011
